"Currency","Currency"
"Custom currency symbols were applied successfully.","Custom currency symbols were applied successfully."
"Manage Currency","Manage Currency"
"Manage Currency Rates","Manage Currency Rates"
"Manage Currency Symbols","Manage Currency Symbols"
"Rates","Rates"
"Save Currency Rates","Save Currency Rates"
"Save Currency Symbols","Save Currency Symbols"
"Symbol","Symbol"
"Symbols","Symbols"
"System","System"
"Use Default","Use Default"
"Use Standard","Use Standard"
"Use Website","Use Website"
